Dimension,Clan_Actual,Clan_Deseado,Clan_Brecha,Adhocracia_Actual,Adhocracia_Deseado,Adhocracia_Brecha,Mercado_Actual,Mercado_Deseado,Mercado_Brecha,Jerarquia_Actual,Jerarquia_Deseado,Jerarquia_Brecha
1. Caracteristicas dominantes,18.0,29.12,11.12,12.28,34.31,22.03,26.25,18.06,-8.19,43.47,18.5,-24.97
2. Liderazgo institucional,17.47,28.72,11.25,12.31,33.47,21.16,26.22,17.59,-8.62,44.0,20.22,-23.78
3. Gestion del personal,16.91,28.69,11.78,12.53,34.25,21.72,25.88,18.41,-7.47,44.69,18.66,-26.03
4. Cohesion institucional,17.38,29.16,11.78,12.88,34.47,21.59,25.22,18.16,-7.06,44.53,18.22,-26.31
5. Enfasis estrategico,18.03,27.75,9.72,12.75,34.38,21.62,25.84,18.03,-7.81,43.38,19.84,-23.53
6. Criterio de exito,17.56,28.75,11.19,13.0,33.97,20.97,24.91,18.47,-6.44,44.53,18.81,-25.72
PROMEDIO GLOBAL MPT,17.56,28.7,11.14,12.62,34.14,21.52,25.72,18.12,-7.6,44.1,19.04,-25.06
